S.No,Article Title,Article Link
1,Underrated Linux Commands,https://medium.com/featurepreneur/underrated-linux-commands-adabd8790322
2,Postgresql-Case,https://medium.com/featurepreneur/postgresql-case-d74a8da4b718
3,What is Streamlit?,https://medium.com/featurepreneur/what-is-streamlit-e106c6d9719d
4,CRUD operation in MongoDB using flask,https://medium.com/featurepreneur/crud-operation-in-mongodb-using-flask-c6b28f59c110
5,Machine learning -Bias- Overfitting- Underfitting,https://medium.com/featurepreneur/machine-learning-bias-overfitting-underfitting-cd817c05d548
6,ClickHouse DB will make a better home for your OLAP data,https://medium.com/featurepreneur/clickhouse-db-will-make-a-better-home-for-your-olap-data-5dcd93169d51
7,Rasa Bot,https://medium.com/featurepreneur/rasa-bot-a8b5647e3ac8
8,EDA-Exploratory data analysis,https://medium.com/featurepreneur/eda-exploratory-data-analysis-80a089f25d71
9,Database,https://medium.com/featurepreneur/database-1b5811a508c1
10,My favorite 10 Ubuntu commands,https://medium.com/featurepreneur/my-favorite-10-ubuntu-commands-a3a1e127cc92
11,Prerequisites for Machine Learning,https://medium.com/featurepreneur/prerequisites-for-machine-learning-533fa43ae147
